Time,PrimT,HwActive,ChActive,ActPow,HwTOutlet,PrimTSet,HwTSet
2017-11-28T01:12:36.968Z,55.4,,,36,31.6,,0
2017-11-28T01:12:46.959Z,56,,,,31.6,,0
2017-11-28T01:12:56.964Z,56.4,,,,31.6,,0
2017-11-28T01:13:06.958Z,56.7,,,,31.6,,0
2017-11-28T01:13:17.330Z,56.8,,,,31.6,,0
2017-11-28T01:13:26.959Z,,,,,31.6,,0
2017-11-28T01:13:36.959Z,56.9,,,,31.6,,0
2017-11-28T01:13:46.962Z,57,,,,31.6,,0
2017-11-28T01:13:56.955Z,57.2,,,35,31.5,,0
2017-11-28T01:14:06.967Z,57.3,,,34,31.6,,0
2017-11-28T01:14:17.068Z,57,,,32,31.6,,0
2017-11-28T01:14:26.957Z,57.2,,,,31.6,,0
2017-11-28T01:14:36.959Z,57.3,,,30,31.6,,0
2017-11-28T01:14:46.955Z,57.2,,,,31.6,,0
2017-11-28T01:14:56.956Z,,,,,31.6,,0
2017-11-28T01:15:06.965Z,57.6,,,29,31.6,,0
