Time,HwTOutlet,PrimT,HwTSet,ChActive,ActPow,PrimTSet,HwActive
2018-01-30T01:12:47.608Z,23.1,,0,,,,
2018-01-30T01:12:57.273Z,23.1,39.2,0,0,0,5,0
2018-01-30T01:13:07.275Z,23.1,,0,,,,
2018-01-30T01:13:17.277Z,23.1,,0,,,,
2018-01-30T01:13:27.274Z,23.1,,0,,,,
2018-01-30T01:13:37.276Z,23.1,,0,,,,
2018-01-30T01:13:47.607Z,23.1,,0,,,,
2018-01-30T01:13:57.274Z,23.1,,0,,,,
2018-01-30T01:14:07.273Z,23.1,39.1,0,,,,
2018-01-30T01:14:17.273Z,23.1,,0,,,,
2018-01-30T01:14:27.273Z,23.1,,0,,,,
2018-01-30T01:14:37.274Z,23.1,,0,,,,
2018-01-30T01:14:47.363Z,23.1,,0,,,,
2018-01-30T01:14:57.295Z,23.1,,0,,,,
2018-01-30T01:15:07.273Z,23.1,,0,,,,
2018-01-30T01:15:17.273Z,23,,0,,,,
2018-01-30T01:15:27.274Z,23.1,38.9,0,,,,
2018-01-30T01:15:37.273Z,23,38.9,0,,,,
2018-01-30T01:15:47.363Z,23,,0,,,,
2018-01-30T01:15:57.273Z,23,,0,,,,
2018-01-30T01:16:07.273Z,23,,0,,,,
2018-01-30T01:16:17.273Z,23,,0,,,,
2018-01-30T01:16:27.273Z,23,,0,,,,
2018-01-30T01:16:37.452Z,23,,0,,,,
2018-01-30T01:16:47.426Z,23,,0,,,,
2018-01-30T01:16:57.273Z,23,,0,,,,
2018-01-30T01:17:07.273Z,23,38.8,0,,,,
2018-01-30T01:17:17.276Z,23,,0,,,,
2018-01-30T01:17:27.274Z,23,,0,,,,
2018-01-30T01:17:37.273Z,23,,0,,,,
2018-01-30T01:17:47.382Z,23,,0,,,,
2018-01-30T01:17:57.273Z,23,,0,,,,
2018-01-30T01:18:07.279Z,23,,0,,,,
2018-01-30T01:18:17.275Z,23,,0,,,,
2018-01-30T01:18:27.278Z,23,,0,,,,
2018-01-30T01:18:37.273Z,23,38.7,0,,,,
2018-01-30T01:18:47.365Z,23,,0,,,,
2018-01-30T01:18:57.274Z,23,,0,,,,
2018-01-30T01:19:07.275Z,23,,0,,,,
2018-01-30T01:19:17.274Z,22.8,,0,,,,
2018-01-30T01:19:27.274Z,22.8,,0,,,,
2018-01-30T01:19:37.274Z,22.8,,0,,,,
2018-01-30T01:19:47.364Z,22.8,,0,,,,
2018-01-30T01:19:57.273Z,22.8,,0,,,,
2018-01-30T01:20:07.276Z,22.8,,0,,,,
2018-01-30T01:20:17.274Z,22.8,38.6,0,,,,
2018-01-30T01:20:27.274Z,22.8,,0,,,,
2018-01-30T01:20:37.274Z,22.8,,0,,,,
